副本ID(主线支线挑战为类型ID+世界ID+2位序号，其他为类型ID+4位序号)  探索是11开头的,副本类型（1：主线；2：挑战；3：活动副本；4:多人副本；5：PVP调用；6；庇护所调用；7：支线副本；8：亲密度副本；9：限时活动副本; 10:守护试炼 11：探索副本 12:转职副本 14：公会矿洞 15:幻卡 16:百层塔 17：公会战 21:天守阁）,世界ID,副本名称,副本等级,副本经验,角色经验,副本消耗类型（消耗类型ID）,进入副本消耗,完成副本消耗,副本限制人数,副本阵容ID,前置副本,解锁等级,对应的主线本ID,星级条件描述,星级条件脚本,星级条件奖励类型,星级条件奖励数量,Lua脚本,布阵摄像机,战斗摄像机,结算展示摄像机,结算摄像机,影子摄像机,副本攻略,副本攻略概述（12字）,限制类型1(0：无限制1：限定某些角色登场2：限定某职业角色登场3：限定等级以上角色登场4：限定某性别角色登场5：限定某势力角色登场),限制参数1,限制类型2,限制参数2,副本技能(玩家队伍光环技能),副本特殊要求ICON,副本特殊要求说明,进入布阵时触发的剧情,结算完成后战斗场景触发的剧情,结算完成后中地图触发的剧情,限制次数,是否可以扫荡(1可以0不可以）,亲密度,副本职业,副本战斗力,回合耗尽(0:不显示 1：回合耗尽后，战斗失败 :2：回合耗尽后，战斗胜利）,副本金币和boss伤害挂钩（X+伤害^y*z)，伤害不超过boss血量R,公会战防御队伍出站人数
90123,9,1,901221,36,100,20,4,2,8,3,92,0,30,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,0,3;3;3,limit_yilu_02.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,,303201,303202,0,0,0,2,0,503,0,0,0
90124,9,1,901221,55,100,20,4,2,8,3,92,0,50,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,0,3;3;3,limit_yilu_03.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,,303201,303202,0,0,0,2,0,503,0,0,0
90125,9,1,901221,70,100,20,4,2,8,3,92,0,70,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,0,3;3;3,limit_yilu_04.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,,303201,303202,0,0,0,2,0,503,0,0,0
90126,9,1,901261,16,100,20,4,2,8,3,92,0,16,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,0,3;3;3,limit_qingrenjie_01.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,,9005101,0,0,0,0,2,0,503,0,0,0
90127,9,1,901261,36,100,20,4,2,8,3,92,0,30,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,0,3;3;3,limit_qingrenjie_02.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,,9005101,0,0,0,0,2,0,503,0,0,0
90128,9,1,901261,55,100,20,4,2,8,3,92,0,50,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,0,3;3;3,limit_qingrenjie_03.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,,9005101,0,0,0,0,2,0,503,0,0,0
90129,9,1,901261,70,100,20,4,2,8,3,92,0,70,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,0,3;3;3,limit_qingrenjie_04.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,,9005101,0,0,0,0,2,0,503,0,0,0
90130,9,1,901301,16,100,20,4,2,8,3,92,0,16,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,0,3;3;3,limit_keluotuo_01.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,,305001,305002,0,0,0,2,0,503,0,0,0
90131,9,1,901301,36,100,20,4,2,8,3,92,0,30,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,0,3;3;3,limit_keluotuo_02.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,,305001,305002,0,0,0,2,0,503,0,0,0
90132,9,1,901301,55,100,20,4,2,8,3,92,0,50,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,0,3;3;3,limit_keluotuo_03.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,,305001,305002,0,0,0,2,0,503,0,0,0
90133,9,1,901301,70,100,20,4,2,8,3,92,0,70,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,0,3;3;3,limit_keluotuo_04.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,,305001,305002,0,0,0,2,0,503,0,0,0
90134,9,1,901341,16,100,20,4,2,8,4,92,0,16,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,0,3;3;3,limit_puleixiya_01.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,,304701,304702,0,0,0,2,0,503,0,0,0
90135,9,1,901341,36,100,20,4,2,8,4,92,0,30,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,0,3;3;3,limit_puleixiya_02.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,,304701,304702,0,0,0,2,0,503,0,0,0
90136,9,1,901341,55,100,20,4,2,8,4,92,0,50,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,0,3;3;3,limit_puleixiya_03.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,,304701,304702,0,0,0,2,0,503,0,0,0
90137,9,1,901341,70,100,20,4,2,8,4,92,0,70,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,0,3;3;3,limit_puleixiya_04.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,,304701,304702,0,0,0,2,0,503,0,0,0
90138,9,1,901381,16,100,20,4,2,8,1,99,0,16,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,0,3;3;3,limit_yurenjie_01.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,buzhen_icon_10,1582,9040101,9040102,0,0,0,2,0,503,0,0,0
90140,9,1,901401,16,100,20,4,2,8,4,92,0,16,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,0,3;3;3,limit_520_01.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,buzhen_icon_10;buzhen_icon_10;buzhen_icon_10;buzhen_icon_10,1583;1584;1585;1586,0,0,0,0,0,2,0,503,0,0,0
90141,9,1,901401,36,100,20,4,2,8,4,92,0,30,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,0,3;3;3,limit_520_02.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,buzhen_icon_10;buzhen_icon_10;buzhen_icon_10;buzhen_icon_10,1583;1584;1585;1586,0,0,0,0,0,2,0,503,0,0,0
90142,9,1,901401,55,100,20,4,2,8,4,92,0,50,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,0,3;3;3,limit_520_03.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,buzhen_icon_10;buzhen_icon_10;buzhen_icon_10;buzhen_icon_10,1583;1584;1585;1586,0,0,0,0,0,2,0,503,0,0,0
90143,9,1,901401,70,100,20,4,2,8,4,92,0,70,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,0,3;3;3,limit_520_04.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,buzhen_icon_10;buzhen_icon_10;buzhen_icon_10;buzhen_icon_10,1583;1584;1585;1586,0,0,0,0,0,2,0,503,0,0,0
100000,10,1,350041,10,50,20,4,2,3,4,5,0,0,0,1001;1002;1003,0,0,3;3;3,GuildBoss01_01.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,900000,0,0,0,0,1,0,503,1,0,0
100001,10,1,350041,10,50,20,4,2,3,4,5,0,0,0,1001;1002;1003,0,0,3;3;3,GuildBoss01_02.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,900000,0,0,0,0,1,0,503,1,0,0
100002,10,1,350041,10,50,20,4,2,3,4,5,0,0,0,1001;1002;1003,0,0,3;3;3,GuildBoss01_03.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,900000,0,0,0,0,1,0,503,1,0,0
100003,10,1,350041,10,50,20,4,2,3,4,5,0,0,0,1001;1002;1003,0,0,3;3;3,GuildBoss01_04.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,900000,0,0,0,0,1,0,503,1,0,0
100004,10,1,350041,10,50,20,4,2,3,4,5,0,0,0,1001;1002;1003,0,0,3;3;3,GuildBoss01_05.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,900000,0,0,0,0,1,0,503,1,0,0
100005,10,1,350041,10,50,20,4,2,3,4,5,0,0,0,1001;1002;1003,0,0,3;3;3,GuildBoss01_06.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,900000,0,0,0,0,1,0,503,1,0,0
100006,10,1,350041,10,50,20,4,2,3,4,5,0,0,0,1001;1002;1003,0,0,3;3;3,GuildBoss01_07.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,900000,0,0,0,0,1,0,503,1,0,0
100007,10,1,350041,10,50,20,4,2,3,4,5,0,0,0,1001;1002;1003,0,0,3;3;3,GuildBoss01_08.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,900000,0,0,0,0,1,0,503,1,0,0
100008,10,1,350041,10,50,20,4,2,3,4,5,0,0,0,1001;1002;1003,0,0,3;3;3,GuildBoss01_09.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,900000,0,0,0,0,1,0,503,1,0,0
100009,10,1,350041,10,50,20,4,2,3,4,5,0,0,0,1001;1002;1003,0,0,3;3;3,GuildBoss01_10.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,900000,0,0,0,0,1,0,503,1,0,0
100100,10,1,350041,10,50,20,4,2,3,4,5,0,0,0,1001;1002;1003,0,0,3;3;3,GuildBoss02_01.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,900001,0,0,0,0,1,0,503,1,0,0
100101,10,1,350041,10,50,20,4,2,3,4,5,0,0,0,1001;1002;1003,0,0,3;3;3,GuildBoss02_02.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,900001,0,0,0,0,1,0,503,1,0,0
100102,10,1,350041,10,50,20,4,2,3,4,5,0,0,0,1001;1002;1003,0,0,3;3;3,GuildBoss02_03.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,900001,0,0,0,0,1,0,503,1,0,0
100103,10,1,350041,10,50,20,4,2,3,4,5,0,0,0,1001;1002;1003,0,0,3;3;3,GuildBoss02_04.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,900001,0,0,0,0,1,0,503,1,0,0
100104,10,1,350041,10,50,20,4,2,3,4,5,0,0,0,1001;1002;1003,0,0,3;3;3,GuildBoss02_05.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,900001,0,0,0,0,1,0,503,1,0,0
100105,10,1,350041,10,50,20,4,2,3,4,5,0,0,0,1001;1002;1003,0,0,3;3;3,GuildBoss02_06.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,900001,0,0,0,0,1,0,503,1,0,0
100106,10,1,350041,10,50,20,4,2,3,4,5,0,0,0,1001;1002;1003,0,0,3;3;3,GuildBoss02_07.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,900001,0,0,0,0,1,0,503,1,0,0
100107,10,1,350041,10,50,20,4,2,3,4,5,0,0,0,1001;1002;1003,0,0,3;3;3,GuildBoss02_08.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,900001,0,0,0,0,1,0,503,1,0,0
100108,10,1,350041,10,50,20,4,2,3,4,5,0,0,0,1001;1002;1003,0,0,3;3;3,GuildBoss02_09.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,900001,0,0,0,0,1,0,503,1,0,0
100109,10,1,350041,10,50,20,4,2,3,4,5,0,0,0,1001;1002;1003,0,0,3;3;3,GuildBoss02_10.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,900001,0,0,0,0,1,0,503,1,0,0
100200,10,1,350041,10,50,20,4,2,3,4,5,0,0,0,1001;1002;1003,0,0,3;3;3,GuildBoss03_01.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,900002,0,0,0,0,1,0,503,1,0,0
100201,10,1,350041,10,50,20,4,2,3,4,5,0,0,0,1001;1002;1003,0,0,3;3;3,GuildBoss03_02.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,900002,0,0,0,0,1,0,503,1,0,0
100202,10,1,350041,10,50,20,4,2,3,4,5,0,0,0,1001;1002;1003,0,0,3;3;3,GuildBoss03_03.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,900002,0,0,0,0,1,0,503,1,0,0
100203,10,1,350041,10,50,20,4,2,3,4,5,0,0,0,1001;1002;1003,0,0,3;3;3,GuildBoss03_04.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,900002,0,0,0,0,1,0,503,1,0,0
100204,10,1,350041,10,50,20,4,2,3,4,5,0,0,0,1001;1002;1003,0,0,3;3;3,GuildBoss03_05.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,900002,0,0,0,0,1,0,503,1,0,0
100205,10,1,350041,10,50,20,4,2,3,4,5,0,0,0,1001;1002;1003,0,0,3;3;3,GuildBoss03_06.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,900002,0,0,0,0,1,0,503,1,0,0
100206,10,1,350041,10,50,20,4,2,3,4,5,0,0,0,1001;1002;1003,0,0,3;3;3,GuildBoss03_07.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,900002,0,0,0,0,1,0,503,1,0,0
100207,10,1,350041,10,50,20,4,2,3,4,5,0,0,0,1001;1002;1003,0,0,3;3;3,GuildBoss03_08.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,900002,0,0,0,0,1,0,503,1,0,0
100208,10,1,350041,10,50,20,4,2,3,4,5,0,0,0,1001;1002;1003,0,0,3;3;3,GuildBoss03_09.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,900002,0,0,0,0,1,0,503,1,0,0
100209,10,1,350041,10,50,20,4,2,3,4,5,0,0,0,1001;1002;1003,0,0,3;3;3,GuildBoss03_10.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,900002,0,0,0,0,1,0,503,1,0,0
110101,11,1,1101011,10,100,0,4,2,8,4,3,0,0,0,1001;1002;1003,0,0,3;3;3,explore01_01.lua,,,,,ShadowCamera2,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,13;15,2748,1,0,0
110102,11,1,1101011,10,100,0,4,2,8,4,3,0,0,0,1001;1002;1003,0,0,3;3;3,explore01_02.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,12;15,3988,1,0,0
110103,11,1,1101011,10,100,0,4,2,8,4,3,0,0,0,1001;1002;1003,0,0,3;3;3,explore01_03.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,11;15,5228,1,0,0
110104,11,1,1101011,10,100,0,4,2,8,4,3,0,0,0,1001;1002;1003,0,0,3;3;3,explore01_04.lua,,,,,ShadowCamera2,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,14;15,6468,1,0,0
110105,11,1,1101011,10,100,0,4,2,8,4,3,0,0,0,1001;1002;1003,0,0,3;3;3,explore01_05.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,15,7708,1,0,0
110106,11,1,1101011,10,100,0,4,2,8,4,3,0,0,0,1001;1002;1003,0,0,3;3;3,explore01_06.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,11;14,8948,1,0,0
110107,11,1,1101011,10,100,0,4,2,8,4,4,0,0,0,1001;1002;1003,0,0,3;3;3,explore01_07.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,12;13,10188,1,0,0
110108,11,1,1101011,10,100,0,4,2,8,4,4,0,0,0,1001;1002;1003,0,0,3;3;3,explore01_08.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,11;13,11428,1,0,0
110109,11,1,1101011,10,100,0,4,2,8,4,4,0,0,0,1001;1002;1003,0,0,3;3;3,explore01_09.lua,,,,,ShadowCamera3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,12;14,12668,1,0,0
110201,11,1,1101011,10,100,0,4,2,8,4,3,0,0,0,1001;1002;1003,0,0,3;3;3,explore02_01.lua,,,,,ShadowCamera3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,12;13;15,12668,1,0,0
110202,11,1,1101011,10,100,0,4,2,8,4,4,0,0,0,1001;1002;1003,0,0,3;3;3,explore02_02.lua,,,,,ShadowCamera3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,11;14;15,12668,1,0,0
110203,11,1,1101011,10,100,0,4,2,8,4,4,0,0,0,1001;1002;1003,0,0,3;3;3,explore02_03.lua,,,,,ShadowCamera3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,12;14;15,12668,1,0,0
110204,11,1,1101011,10,100,0,4,2,8,4,4,0,0,0,1001;1002;1003,0,0,3;3;3,explore02_04.lua,,,,,ShadowCamera3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,11;13;15,12668,1,0,0
110205,11,1,1101011,10,100,0,4,2,8,4,4,0,0,0,1001;1002;1003,0,0,3;3;3,explore02_05.lua,,,,,ShadowCamera3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,12;13;15,12668,1,0,0
110206,11,1,1101011,10,100,0,4,2,8,4,4,0,0,0,1001;1002;1003,0,0,3;3;3,explore02_06.lua,,,,,ShadowCamera3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,11;14;15,12668,1,0,0
110207,11,1,1101011,10,100,0,4,2,8,4,4,0,0,0,1001;1002;1003,0,0,3;3;3,explore02_07.lua,,,,,ShadowCamera3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,12;14;15,12668,1,0,0
110208,11,1,1101011,10,100,0,4,2,8,4,4,0,0,0,1001;1002;1003,0,0,3;3;3,explore02_08.lua,,,,,ShadowCamera3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,11;13;15,12668,1,0,0
110301,11,1,1101011,10,100,0,4,2,8,4,4,0,0,0,1001;1002;1003,0,0,3;3;3,explore03_01.lua,,,,,ShadowCamera3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,13;15,12668,1,0,0
110302,11,1,1101011,10,100,0,4,2,8,4,4,0,0,0,1001;1002;1003,0,0,3;3;3,explore03_02.lua,,,,,ShadowCamera3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,12;15,12668,1,0,0
110303,11,1,1101011,10,100,0,4,2,8,4,4,0,0,0,1001;1002;1003,0,0,3;3;3,explore03_03.lua,,,,,ShadowCamera3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,11;15,12668,1,0,0
110304,11,1,1101011,10,100,0,4,2,8,4,4,0,0,0,1001;1002;1003,0,0,3;3;3,explore03_04.lua,,,,,ShadowCamera3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,14;15,12668,1,0,0
110305,11,1,1101011,10,100,0,4,2,8,4,4,0,0,0,1001;1002;1003,0,0,3;3;3,explore03_05.lua,,,,,ShadowCamera3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,15,12668,1,0,0
110306,11,1,1101011,10,100,0,4,2,8,4,4,0,0,0,1001;1002;1003,0,0,3;3;3,explore03_06.lua,,,,,ShadowCamera3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,11;14,12668,1,0,0
110307,11,1,1101011,10,100,0,4,2,8,4,4,0,0,0,1001;1002;1003,0,0,3;3;3,explore03_07.lua,,,,,ShadowCamera3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,12;13,12668,1,0,0
110308,11,1,1101011,10,100,0,4,2,8,4,4,0,0,0,1001;1002;1003,0,0,3;3;3,explore03_08.lua,,,,,ShadowCamera3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,11;13,12668,1,0,0
110309,11,1,1101011,10,100,0,4,2,8,4,4,0,0,0,1001;1002;1003,0,0,3;3;3,explore03_09.lua,,,,,ShadowCamera3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,12;14,12668,1,0,0
110401,11,1,1101011,10,100,0,4,2,8,4,4,0,0,0,1001;1002;1003,0,0,3;3;3,explore04_01.lua,,,,,ShadowCamera3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,13;15,12668,1,0,0
110402,11,1,1101011,10,100,0,4,2,8,4,4,0,0,0,1001;1002;1003,0,0,3;3;3,explore04_02.lua,,,,,ShadowCamera3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,13;15,12668,1,0,0
110403,11,1,1101011,10,100,0,4,2,8,4,3,0,0,0,1001;1002;1003,0,0,3;3;3,explore04_03.lua,,,,,ShadowCamera3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,11;15,12668,1,0,0
110404,11,1,1101011,10,100,0,4,2,8,4,4,0,0,0,1001;1002;1003,0,0,3;3;3,explore04_04.lua,,,,,ShadowCamera3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,14;15,12668,1,0,0
110405,11,1,1101011,10,100,0,4,2,8,4,4,0,0,0,1001;1002;1003,0,0,3;3;3,explore04_05.lua,,,,,ShadowCamera3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,15,12668,1,0,0
110406,11,1,1101011,10,100,0,4,2,8,4,4,0,0,0,1001;1002;1003,0,0,3;3;3,explore04_06.lua,,,,,ShadowCamera3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,11;14,12668,1,0,0
110407,11,1,1101011,10,100,0,4,2,8,4,4,0,0,0,1001;1002;1003,0,0,3;3;3,explore04_07.lua,,,,,ShadowCamera3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,12;13,12668,1,0,0
110408,11,1,1101011,10,100,0,4,2,8,4,3,0,0,0,1001;1002;1003,0,0,3;3;3,explore04_08.lua,,,,,ShadowCamera3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,11;13,12668,1,0,0
110409,11,1,1101011,10,100,0,4,2,8,4,4,0,0,0,1001;1002;1003,0,0,3;3;3,explore04_09.lua,,,,,ShadowCamera3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,12;14,12668,1,0,0
110501,11,1,1101011,10,100,0,4,2,8,4,4,0,0,0,1001;1002;1003,0,0,3;3;3,explore05_01.lua,,,,,ShadowCamera3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,13;15,12668,1,0,0
110502,11,1,1101011,10,100,0,4,2,8,4,4,0,0,0,1001;1002;1003,0,0,3;3;3,explore05_02.lua,,,,,ShadowCamera3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,12;15,12668,1,0,0
110503,11,1,1101011,10,100,0,4,2,8,4,4,0,0,0,1001;1002;1003,0,0,3;3;3,explore05_03.lua,,,,,ShadowCamera3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,11;15,12668,1,0,0
110504,11,1,1101011,10,100,0,4,2,8,4,4,0,0,0,1001;1002;1003,0,0,3;3;3,explore05_04.lua,,,,,ShadowCamera3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,14;15,12668,1,0,0
110505,11,1,1101011,10,100,0,4,2,8,4,4,0,0,0,1001;1002;1003,0,0,3;3;3,explore05_05.lua,,,,,ShadowCamera3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,15,12668,1,0,0
110506,11,1,1101011,10,100,0,4,2,8,4,4,0,0,0,1001;1002;1003,0,0,3;3;3,explore05_06.lua,,,,,ShadowCamera3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,11;14,12668,1,0,0
110507,11,1,1101011,10,100,0,4,2,8,4,4,0,0,0,1001;1002;1003,0,0,3;3;3,explore05_07.lua,,,,,ShadowCamera3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,12;13,12668,1,0,0
110508,11,1,1101011,10,100,0,4,2,8,4,4,0,0,0,1001;1002;1003,0,0,3;3;3,explore05_08.lua,,,,,ShadowCamera3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,11;13,12668,1,0,0
110601,11,1,1101011,10,100,0,4,2,8,4,4,0,0,0,1001;1002;1003,0,0,3;3;3,explore06_01.lua,,,,,ShadowCamera3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,14;15,12668,1,0,0
110602,11,1,1101011,10,100,0,4,2,8,4,4,0,0,0,1001;1002;1003,0,0,3;3;3,explore06_02.lua,,,,,ShadowCamera3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,11;14,12668,1,0,0
110603,11,1,1101011,10,100,0,4,2,8,4,4,0,0,0,1001;1002;1003,0,0,3;3;3,explore06_03.lua,,,,,ShadowCamera3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,11;14,12668,1,0,0
110604,11,1,1101011,10,100,0,4,2,8,4,4,0,0,0,1001;1002;1003,0,0,3;3;3,explore06_04.lua,,,,,ShadowCamera3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,11;13,12668,1,0,0
110605,11,1,1101011,10,100,0,4,2,8,4,4,0,0,0,1001;1002;1003,0,0,3;3;3,explore06_05.lua,,,,,ShadowCamera3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,11;14,12668,1,0,0
110606,11,1,1101011,10,100,0,4,2,8,4,4,0,0,0,1001;1002;1003,0,0,3;3;3,explore06_06.lua,,,,,ShadowCamera3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,11;14,12668,1,0,0
110607,11,1,1101011,10,100,0,4,2,8,4,4,0,0,0,1001;1002;1003,0,0,3;3;3,explore06_07.lua,,,,,ShadowCamera3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,11;13,12668,1,0,0
115101,11,1,1101011,10,100,0,4,2,8,4,3,0,0,0,1001;1002;1003,0,0,3;3;3,hexplore01_01.lua,,,,,ShadowCamera2,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,13;15,2748,1,0,0
115102,11,1,1101011,10,100,0,4,2,8,4,3,0,0,0,1001;1002;1003,0,0,3;3;3,hexplore01_02.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,12;15,3988,1,0,0
115103,11,1,1101011,10,100,0,4,2,8,4,3,0,0,0,1001;1002;1003,0,0,3;3;3,hexplore01_03.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,11;15,5228,1,0,0
115104,11,1,1101011,10,100,0,4,2,8,4,3,0,0,0,1001;1002;1003,0,0,3;3;3,hexplore01_04.lua,,,,,ShadowCamera2,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,14;15,6468,1,0,0
115105,11,1,1101011,10,100,0,4,2,8,4,3,0,0,0,1001;1002;1003,0,0,3;3;3,hexplore01_05.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,15,7708,1,0,0
115106,11,1,1101011,10,100,0,4,2,8,4,3,0,0,0,1001;1002;1003,0,0,3;3;3,hexplore01_06.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,11;14,8948,1,0,0
115107,11,1,1101011,10,100,0,4,2,8,4,4,0,0,0,1001;1002;1003,0,0,3;3;3,hexplore01_07.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,12;13,10188,1,0,0
115108,11,1,1101011,10,100,0,4,2,8,4,4,0,0,0,1001;1002;1003,0,0,3;3;3,hexplore01_08.lua,,,,,ShadowCamera1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,11;13,11428,1,0,0
